jsic	unified_id	reason
A	UNI-0ce79581b1	cap_per_jsic
A	UNI-0e1a9da04b	cap_per_jsic
A	UNI-0e3b194d66	cap_per_jsic
A	UNI-0e544b8de3	cap_per_jsic
A	UNI-0f27e3b4f3	cap_per_jsic
A	UNI-10adcceb43	cap_per_jsic
A	UNI-10bca6eefa	cap_per_jsic
A	UNI-10cf9caf85	cap_per_jsic
A	UNI-11132fcb80	cap_per_jsic
A	UNI-115d4d11c7	cap_per_jsic
A	UNI-1196d6c653	cap_per_jsic
A	UNI-119e67c23a	cap_per_jsic
A	UNI-11d147cc4e	cap_per_jsic
A	UNI-11e1aeceb3	cap_per_jsic
A	UNI-128b54d2b4	cap_per_jsic
A	UNI-129bba5b1b	cap_per_jsic
A	UNI-13eceadddd	cap_per_jsic
A	UNI-13fe5574b4	cap_per_jsic
A	UNI-145ac22d32	cap_per_jsic
A	UNI-14c5eb1b1a	cap_per_jsic
A	UNI-16270aa9ce	cap_per_jsic
A	UNI-17a9a0ecf0	cap_per_jsic
A	UNI-17d430ad3e	cap_per_jsic
A	UNI-18b2c8ed93	cap_per_jsic
A	UNI-1928b52746	cap_per_jsic
A	UNI-19639ffaff	cap_per_jsic
A	UNI-19a4438d1f	cap_per_jsic
A	UNI-1a124eef77	cap_per_jsic
A	UNI-1ada86d27f	cap_per_jsic
A	UNI-1af8acba11	cap_per_jsic
A	UNI-1bdf7310d4	cap_per_jsic
A	UNI-1cc4d8f5d3	cap_per_jsic
A	UNI-1d53285267	cap_per_jsic
A	UNI-1daeec0103	cap_per_jsic
A	UNI-1de7c0f336	cap_per_jsic
A	UNI-1ea510f9db	cap_per_jsic
A	UNI-1f4ed35b41	cap_per_jsic
A	UNI-1f7b8a20a0	cap_per_jsic
A	UNI-21fc472c58	cap_per_jsic
A	UNI-221c690f68	cap_per_jsic
A	UNI-22fe8581f4	cap_per_jsic
A	UNI-2422ac1db7	cap_per_jsic
A	UNI-261e271cf6	cap_per_jsic
A	UNI-26fd2166ca	cap_per_jsic
A	UNI-280b86874c	cap_per_jsic
A	UNI-281d94e33d	cap_per_jsic
A	UNI-28365e726b	cap_per_jsic
A	UNI-2881f41cf2	cap_per_jsic
A	UNI-2a59db0f07	cap_per_jsic
A	UNI-2accde9202	cap_per_jsic
A	UNI-2b5576c6db	cap_per_jsic
A	UNI-2c6d362599	cap_per_jsic
A	UNI-2d0cd4dcc1	cap_per_jsic
A	UNI-2d50184850	cap_per_jsic
A	UNI-2dd4b7f09a	cap_per_jsic
A	UNI-2de381260a	cap_per_jsic
A	UNI-2ecac893de	cap_per_jsic
A	UNI-2f6d52eb14	cap_per_jsic
A	UNI-2f8abf935f	cap_per_jsic
A	UNI-2f91c72a9c	cap_per_jsic
A	UNI-31c65dfe9a	cap_per_jsic
A	UNI-31d4d7e649	cap_per_jsic
A	UNI-32774f479b	cap_per_jsic
A	UNI-3464232141	cap_per_jsic
A	UNI-35886e029a	cap_per_jsic
A	UNI-3620266d1c	cap_per_jsic
